GTFS,Transmodel(Netex),,,,,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,ROUTES,
route_id,<Line> @id ,,,,,,,,,Identifica la ruta,,,,,,,
agency_id,<Line> <OperatorRef>,,,,,,,,,Define una empresa para la ruta. Este campo es obligatorio cuando hay mas de una empresa en agency.txt,,,,,,,
route_short_name,<Line> <PublicCode> or <ShortName>,,,,,,,,,"Indica el nombre corto de una ruta,  es un identificador corto y abstracto. ",,,,,,,"Se debe especificar, al menos, uno de los valores route_short_name o route_long_name, o bien ambos si corresponde"
route_long_name,<Line> <Name>,,,,,,,,,"Indica el nombre completo de un ruta, mas descriptivo que short_name",,,,,,,
route_desc,<Line> <Description>,,,,,,,,,Describe una ruta.poner informacion util. No  reproducir simplemente el nombre de la ruta,,,,,,,
route_type,,,,,,,,,,describe el tipo de transporte que se usa en una ruta ,,,,,,,
,<Line> <TransportMode>tram,,,,,,,,,Tranvia o Tren. Todo tren ligero o sistema ferroviario a nivel de la calle dentro de un area metropolitana,,,,,,,
,<Line> <TransportMode>metro,,,,,,,,,Subterraneo o metro. Todo sistema ferroviario subterraneo dentro de un area metropolitana,,,,,,,
,<Line> <TransportMode>rail,,,,,,,,,Tren.viajes interurbanos o de larga distancia ,,,,,,,
,<Line> <TransportMode>bus,,,,,,,,,Autobus. Rutas en autobus de corta y media distancia,,,,,,,
,<Line> <TransportMode>ferry,,,,,,,,,Tranbordador. Servicio de trasnporte por agua de corta y larga distancia,,,,,,,
,<Line> <TransportMode>telecabine,,,,,,,,,Telecabina o teleferico. Vehiculos de traccion por cable aereos donde el vehiculo queda suspendido de un cable.,,,,,,,
,<Line> <TransportMode>funicular,,,,,,,,,Funicular. Todo sistema ferroviario que realiza recorridos con una gran inclinacion mediante sistema de traccion por cable.,,,,,,,
route_url,<Line> <Url>,,,,,,,,,Contiene la URL de la pagina web d euna ruta en particular. Esta URL debe ser diferente del valor agency_url,,,,,,,
route_color,<Line> <Presentation> <Colour>,,,,,,,,,Define el corlor correspondiente a una ruta. sino se especifica ningun color predeterminado pra la ruta es blanco. FFFFFF. La diferencia de color entre route_color y route_text_color debe brindar un contraste suficiente para distinguirlos en una pantalla en blanco y negro,,,,,,,
route_text_color,<Line><Presentation> <TextColour>,,,,,,,,,Especifica un color legible para el teexto que contraste con el color de fondo route_color. Si no se especifica ningun color el predeterminado es el negro 000000. La diferencia de color entre route_color y route_text_color debe brindar un contraste suficiente para distinguirlos en una pantalla en blanco y negro,,,,,,,
route_sort_order,NONE,,,,,,,,,Especifica el orden en el que las rutas se presentan a los clientes. Las rutas con valores de route_sort_order más bajos deben mostrarse antes que las rutas con valores de route_sort_order más altos.,,,,,,,
